momentum_ratio_threshold,pullback_depth_min,pullback_depth_max,upper_wick_ratio_max,lower_wick_ratio_max,breakout_confirmation_required,trades,winrate,avg_R,profit_factor,max_drawdown
0.9,-2.0,,0.3,0.5,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.0,,0.3,0.5,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.0,,0.3,0.6,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.0,,0.3,0.6,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.0,,0.3,0.7,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.0,,0.3,0.7,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.0,,0.4,,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.0,,0.4,,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.0,,0.4,0.5,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.0,,0.4,0.5,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.0,,0.4,0.6,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.0,,0.4,0.6,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-2.0,,0.4,0.7,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-2.0,,0.4,0.7,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,,,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,,,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,,0.5,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,,0.5,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,,0.6,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,,0.6,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,,0.7,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,,0.7,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,0.2,,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,0.2,,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,0.2,0.5,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,0.2,0.5,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,0.2,0.6,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,0.2,0.6,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,0.2,0.7,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,0.2,0.7,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,0.3,,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,0.3,,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,0.3,0.5,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,0.3,0.5,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,0.3,0.6,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,0.3,0.6,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,0.3,0.7,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,0.3,0.7,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,0.4,,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,0.4,,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,0.4,0.5,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,0.4,0.5,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,0.4,0.6,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,0.4,0.6,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.5,,0.4,0.7,False,17,47.05882352941176,0.26402519281086917,1.2411366109371798,9.840967612434875
0.9,-1.5,,0.4,0.7,True,11,45.45454545454545,0.48216948432264944,1.3455878340296652,9.840967612434875
0.9,-1.0,,,,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,,,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,,0.5,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,,0.5,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,,0.6,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,,0.6,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,,0.7,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,,0.7,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,0.2,,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,0.2,,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,0.2,0.5,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,0.2,0.5,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,0.2,0.6,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,0.2,0.6,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,0.2,0.7,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,0.2,0.7,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,0.3,,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,0.3,,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,0.3,0.5,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,0.3,0.5,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,0.3,0.6,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,0.3,0.6,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,0.3,0.7,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
0.9,-1.0,,0.3,0.7,True,7,42.857142857142854,0.6310148306186016,1.4460100544699128,7.729898668728295
0.9,-1.0,,0.4,,False,13,46.15384615384615,0.27705136650506484,1.273478068145611,7.729898668728295
